filename,health_state,load_hp,rpm,shaft_freq_hz,severity,sample_rate_hz,duration_s
healthy_load0_trial0.csv.gz,healthy,0,1797,29.95,0.0,12000.0,1.0
inner_race_load0_trial0.csv.gz,inner_race,0,1797,29.95,1.0638196367068284,12000.0,1.0
outer_race_load0_trial0.csv.gz,outer_race,0,1797,29.95,0.9651850582971536,12000.0,1.0
ball_load0_trial0.csv.gz,ball,0,1797,29.95,0.931935117161135,12000.0,1.0
compound_load0_trial0.csv.gz,compound,0,1797,29.95,1.1944537618518694,12000.0,1.0
healthy_load1_trial0.csv.gz,healthy,1,1772,29.533333333333335,0.0,12000.0,1.0
inner_race_load1_trial0.csv.gz,inner_race,1,1772,29.533333333333335,1.1108438447551938,12000.0,1.0
outer_race_load1_trial0.csv.gz,outer_race,1,1772,29.533333333333335,1.0396580788739669,12000.0,1.0
ball_load1_trial0.csv.gz,ball,1,1772,29.533333333333335,0.9965811215369665,12000.0,1.0
compound_load1_trial0.csv.gz,compound,1,1772,29.533333333333335,0.8304682965812962,12000.0,1.0
healthy_load2_trial0.csv.gz,healthy,2,1750,29.166666666666668,0.0,12000.0,1.0
inner_race_load2_trial0.csv.gz,inner_race,2,1750,29.166666666666668,0.8745229265546082,12000.0,1.0
outer_race_load2_trial0.csv.gz,outer_race,2,1750,29.166666666666668,1.1301886784605486,12000.0,1.0
ball_load2_trial0.csv.gz,ball,2,1750,29.166666666666668,1.0730305393174047,12000.0,1.0
compound_load2_trial0.csv.gz,compound,2,1750,29.166666666666668,0.8502405645026418,12000.0,1.0
healthy_load3_trial0.csv.gz,healthy,3,1730,28.833333333333332,0.0,12000.0,1.0
inner_race_load3_trial0.csv.gz,inner_race,3,1730,28.833333333333332,0.8904716431312074,12000.0,1.0
outer_race_load3_trial0.csv.gz,outer_race,3,1730,28.833333333333332,1.158200250656686,12000.0,1.0
ball_load3_trial0.csv.gz,ball,3,1730,28.833333333333332,0.8805971416540083,12000.0,1.0
compound_load3_trial0.csv.gz,compound,3,1730,28.833333333333332,1.146750412256376,12000.0,1.0
